code,name,shares,weight
MU US,MICRON TECHNOLOGY INC,105000,5.91
009150 KS,Samsung Electro-Mechanics co(009150 ks),80000,5.78
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),175000,4.99
285A JP,KIOXIA HOLDINGS CORP,150000,4.16
SNDK US,SANDISK CORP,39000,4.04
2454,聯發科,410000,3.39
LITE US,LUMENTUM HOLDINGS INC,62000,3.34
2383,台光電,330000,3.25
MRVL US,MARVELL TECHNOLOGY INC,200000,3.19
IFX GY,INFINEON TECHNOLOGIES AG,557550,3.05
6981 JP,MURATA MANUFACTURING CO LTD,870000,2.96
3037,欣興,1500000,2.64
BE US,BLOOM ENERGY CORP- A,170000,2.51
VSH US,VISHAY INTERTECHNOLOGY INC,725429,2.5
WDC US,WESTERN DIGITAL CORP,72000,2.23
6787 JP,MEIKO ELECTRONICS CO LTD,175000,2.13
6997 JP,NIPPON CHEMI-CON CORP,1215100,2.03
6976 JP,TAIYO YUDEN CO LTD,315000,1.94
5706 JP,Mitsui Mining ＆ Smelting Co,130000,1.89
4062 JP,IBIDEN CO LTD,275000,1.88
2330,台積電,400000,1.8
NOK US,NOKIA CORP-SPON ADR,2100000,1.78
STM US,STMICROELECTRONICS NV-NY SHS,375000,1.67
5274,信驊,46000,1.54
2308,台達電,350000,1.53
AIXA GY,AIXTRON SE,380000,1.49
6963 JP,ROHM CO LTD,710000,1.32
6515,穎崴,80000,1.29
ARM US,ARM HOLDINGS PLC,65518,1.27
7826 JP,FURUYA METAL CO LTD,374300,1.19
3711,日月光投控,1100000,1.18
CRWD US,CROWDSTRIKE HOLDINGS INC - A,28000,1.14
3436 JP,SUMCO CORP,875400,1.1
603256 CH,GRACE FABRIC TECHNOLOGY CO-A,580000,1.07
6223,旺矽,90000,1.03
3017,奇鋐,215000,1.01
NVDA US,NVIDIA CORP(輝達公司),75000,0.95
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,60000,0.9
2360,致茂,200000,0.88
DDOG US,DATADOG INC - CLASS A,60000,0.86
COHR US,COHERENT INC,38000,0.85
SOI FP,S.O.I.T.E.C.,90000,0.82
6920 JP,LASERTEC CORP,50000,0.8
6274,台燿,230000,0.69
BESI NA,BE SEMICONDUCTOR INDUSTRIES,33000,0.69
GLW US,CORNING INC,56000,0.59
HOT GY,HOCHTIEF AG,15200,0.51
7769,鴻勁,36000,0.49
AXTI US,AXT INC,90000,0.48
7220 JP,MUSASHI SEIMITSU INDUSTRY CO,206400,0.44
